date,town,location,origin,species,sex,age,band,background,treat,lead1,emoq1,mass1,tarsus,wc,lead2,emoq2,mass2,genetic,cage ,water,mas3,runs_n,runs_sec,runs day,alad sample,cell,blood sample volume for oroboros,emoq3,band,leadcare3,leadcare4,chamber,Routine,leak,oxphos,ETS,FCR,OxCe,Oroboros comments,TE,TOF,ALAD,TotalMovement,Frames,CSAL,band,CSAbad,CSA,Bone_Lead,CSA_liv,LN(lead2),formula,lead2c,LN(lead1),formula1,lead1c
21/05/23,Broken Hill,Lexie,83.1,HOSP,F,ad,91657,contamhigh,trt,17.6,199,22.03,20.25,72.1,16.7,218,21.664,ok,16a,29.42,21.651,15,93,1,v,8.56,50,219,91657,,,b,22.82632096,4.49011952,18.33620144,70.6414904,0.323129096,0.803292019,,0.098293944,0.239086528,0.032,782587,44998,,91657,,,628,,2.815408719,3.580481063,35.89080242,2.867898902,3.622998111,37.44967796
21/05/23,Broken Hill,Lexie,83.1,HOSP,F,ad,91659,contamhigh,ctr,30.3,171,22.88,18.5,70.3,12.4,189,22.73,ok,11a,35,22.236,14,144,1,v,5.07,50,166,91659,,,b,25.88017648,6.63662192,19.24355456,79.17858104,0.326858301,0.743563498,,0.109049649,0.257989183,0.081,1136752,44998,20.95,91659,,,1324,20.95436771,2.517696473,3.339334143,28.20034305,3.411147713,4.063029647,58.15021912
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91662,contamhigh,ctr,12.3,194,23.38,18.35,73.18,2.6,200,23.164,ok,13a,35,23.146,30,302,1,v,7.02,50,201,91662,,,a,14.79321192,2.48175274,12.31145918,80.69452774,0.183323607,0.832237059,,0.085781398,0.250480185,,1604086,44998,,91662,,8.595828456,729,,0.955511445,2.07396427,7.956301614,2.509599262,3.332775403,28.01598955
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91664,contamhigh,trt,16.2,191,23.57,19.53,71.68,17.2,197,23.356,ok,10a,48,22.985,14,115,1,v,7.26,50,204,91664,,,b,13.18755752,2.2220848,10.96547272,53.73536832,0.245416714,0.831501414,,0.09000064,0.204348617,0.073,2349758,44998,11.24,91664,,7.105991274,1012,11.23623629,2.844909384,3.604376601,36.75876133,2.785011242,3.555859106,35.01789114
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91666,contamhigh,trt,22.2,186,22.92,20.64,70.19,24,186,22.658,ok,37a,32.898,23.256,22,190,2,v,5.23,50,201,91666,25.3,16.3,b,19.0292352,3.42608376,15.60315144,59.96607872,0.317333326,0.819956834,,0.065961346,0.195367284,0.095,951552,44998,11.28,91666,,7.451846334,1453,11.28,3.17805383,3.874223603,48.14530389,3.100092289,3.811074754,45.19899057
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91667,contamhigh,ctr,17.8,176,23.1,20.41,69.84,10.2,193,23.294,ok,6a,35,23.488,26,308,1,v,5.58,50,191,91667,,,a,20.37566222,4.94586096,15.42980126,75.70077766,0.26916054,0.757266247,,0.100347345,0.257029927,0.031,1606748,44998,21.73,91667,,6.760136214,818,21.73242104,2.32238772,3.181134053,24.07403932,2.879198457,3.63215075,37.79401476
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91668,contamhigh,ctr,12.8,184,23.05,19.66,69.75,5,188,23.424,ok,25a,35,23.229,13,168,1,v,6.15,50,NA,91668,,,a,14.0895287,2.06181662,12.02771208,64.04466684,0.219995347,0.853663195,,0.061732987,0.194085307,,157303,44998,,91668,19.73390308,8.303181867,625,,1.609437912,2.603644709,13.51289898,2.549445171,3.365050588,28.93496104
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91669,contamhigh,ctr,6.7,160,22.15,18.74,70.33,NA,181,22.901,ok,34a,35,22.798,17,165,1,v,5.82,50,164,91669,,,a,15.3305344,4.49643596,10.83409844,57.66304504,0.265864114,0.706700638,,0.111563948,0.290871078,0.051,13972294,44998,,91669,26.77478877,5.722571033,892,,#VALUE!,#VALUE!,#VALUE!,1.902107526,2.840707096,17.12787231
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91670,contamhigh,ctr,11,184,22.81,20.06,70,3.7,193,22.135,ok,29a,35,22.454,12,104,1,v,6.84,50,180,91670,,,b,18.26814632,9.2807924,8.98735392,72.99370344,0.250270167,0.491968575,Weird downdrift but can be corrected,0.122089153,0.299757028,0.03,934648,44998,12.93,91670,24.63824415,6.414281154,924,12.93,1.30833282,2.359749584,10.58829964,2.397895273,3.242295171,25.59239331
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91671,contamhigh,trt,12.1,184,24.01,20.24,71.61,50.5,181,23.004,ok,32a,51.5,23.601,7,80,2,v,5.09,50,170,91671,46.6,23.4,b,13.07574304,3.0309512,10.04479184,43.83879656,0.29826875,0.768200462,,0.091319749,0.200281708,0.042,3608705,44998,19.93,91671,19.58822958,9.713206342,962,19.92844141,3.921973336,4.476798402,87.95263249,2.493205453,3.319496417,27.64642477
